,0.052054794520547946,0.14794520547945206,0.22465753424657534,1.3178082191780822,1.4712328767123288,1.7205479452054795
75.0,1.0703,0.7461,0.6533,0.40979999999999994,0.3961,0.38060000000000005
80.0,0.9765999999999999,0.7178,0.6182,0.39490000000000003,0.3831,0.37060000000000004
85.0,0.8828,0.667,0.5811,0.3846,0.3721,0.36
90.0,0.8554999999999999,0.627,0.5415,0.37170000000000003,0.36229999999999996,0.3519
95.0,0.7695000000000001,0.5845,0.5127,0.3616,0.3529,0.3439
100.0,0.6875,0.5464,0.4885,0.349,0.34380000000000005,0.3372
105.0,0.6640999999999999,0.5159,0.4583,0.3397,0.33590000000000003,0.3301
110.0,0.6006,0.47409999999999997,0.4241,0.3312,0.32880000000000004,0.3246
115.0,0.5342,0.4365,0.39189999999999997,0.32439999999999997,0.32189999999999996,0.3184
120.0,0.5054,0.39990000000000003,0.36369999999999997,0.3186,0.31620000000000004,0.3141
125.0,0.4346,0.3618,0.3361,0.31170000000000003,0.3103,0.3089
130.0,0.37060000000000004,0.3318,0.3123,0.3062,0.3059,0.30510000000000004
135.0,0.3123,0.3025,0.2904,0.3011,0.3018,0.3018
140.0,0.2566,0.2784,0.2725,0.297,0.2981,0.2989
145.0,0.2195,0.26289999999999997,0.2594,0.2938,0.2953,0.2964
150.0,0.1984,0.2506,0.2492,0.2907,0.2928,0.2944
155.0,0.2022,0.2421,0.2404,0.28850000000000003,0.2914,0.2929
